business_name,category,location,description_words,description_chars,quality_bucket,phone,address
"Kidney Solutions Limited","Health","Lagos","23","170","very_thin","0803 485 3935, 0817 866 0537, 0811 570 7684","3 Tunde Gafar Close, Off Adeniyi Jones, Near Aromire Junction, Ikeja, Lagos, Nigeria"
"Schubbs Dental Clinic","Health","Lagos","19","171","very_thin","0805 055 7574, 0803 484 9005, 0704 631 0733","5 Douala Road, Apapa, Lagos, Nigeria"
"Seham Health Care (SHECA) Foundation","Health","Lagos","33","221","thin","0818 701 3577, 0803 408 6034, 0903 204 5651","Sutie C Adigun Plaza, Ibeju Lekki-Epe Express Way, Lakowe, Lagos, Nigeria"
"West African Health","Health","Lagos","10","70","very_thin","01 480 0305, 01 404 8726, 01 255 7542","40 Adegbola Street, Anifowose, Ikeja, Lagos, Nigeria"
"BetaJob","Employment","Lagos","29","182","thin","0816 606 0249","11 Joseph Street, Opebi Link Road, Ikeja, Lagos"
"De Ultimate Recruitment Services","Employment","Lagos","27","169","thin","0903 449 0059","61 Unity Avenue - Agric Bustop, Ikorodu, Lagos Nigeria"
"Workforce Group","Employment","Lagos","34","250","thin","0814 333 2223, 0903 194 6744, 0908 747 4562","Plot 9, Block A, Gbagada Industrial Scheme, Gbagada, Lagos Nigeria"
"Ascentech Services Ltd","Employment","Lagos","17","113","very_thin","0807 921 1199, 0809 992 2733, 09091 416094","First Floor No 148/150 Bode Thomas Street, Surulere, Lagos Nigeria"
"Baseline Drivers Services","Employment","Lagos","21","153","very_thin","0813 152 6769, 0817 669 7595","131, Herbert Macaulay way, Adekunle, Lagos"
"Doheney Services Limited","Employment","Lagos","34","255","thin","0813 460 2626","No 55 Coker Road  off Town Planning way, Illupeju, Lagos Nigeria"
"EAGS Limited","Employment","Lagos","24","155","very_thin","012900755, 012900744","No 65c Opebi Road, Beside salvation bus stop, Ikeja, Lagos Nigeria"
"HRLeverage","Employment","Lagos","19","158","very_thin","0802 215 5626, 0803 228 8650","Capital Building, C/O MCTim, 332 Ikorodu Road, Anthony Village, Lagos Nigeria"
"iRecruiters Africa","Employment","Lagos","29","222","thin","0808 445 7981, 0808 421 3034","Eric Moore Road, Surulere, Lagos Nigeria"
"Kimberly Ryan Limited","Employment","Lagos","30","206","thin","0818 453 2278, 01 631 1945","Plot 3/4, Water Corporation Road, Oniru Victoria Island, Lagos Nigeria"
"MyJobMag Limited","Employment","Lagos","38","236","thin","0812 163 3133","16 Afolabi Aina Street, Allen Ikeja, Lagos"
"PFB Resources","Employment","Lagos","30","212","thin","0905 264 2424","2nd Floor, The Garnet Building, Igbo Efon Lekki, Lagos Nigeria"
"Platinum Careers","Employment","Lagos","31","207","thin","0708 656 6206","40 Agodogba Avenue, Parkview Estate Ikoyi, Lagos"
"Rekrut Consulting Limited","Employment","Lagos","36","249","thin","0803 307 1649","26, Michael Adekoya Street, Off Ilupeju By-pass, Off Esther Oshiyemi St, Behind Heritage Bank, Ilupeju, Lagos Nigeria"
"TalentUp Africa","Employment","Lagos","32","232","thin","0808 851 5604","7A Milverton Rd, Ikoyi 101233, Lagos"
"Tusen Consulting Limited","Employment","Lagos","31","224","thin","01 6320045, 01 6320026","No 5 Balarabe Musa Crescent Off Samuel Manuwa Street, Victoria Island, Lagos Nigeria"
"Benny Recruitment International Limited","Employment","Lagos","30","205","thin","0812 442 9179, 0806 307 2948","10 Adesanya, Ajah Lagos, Lagos State"
"Deloyjobs","Employment","Lagos","31","210","thin","0915 127 2698","First unity estate, Ajah, Lagos"
"People2profit-NG","Employment","Lagos","25","195","thin","0812 321 8025","13, Ikogwe street, Iganmu, Surulere, Lagos"
"Tybitx Services","Employment","Lagos","29","224","thin","0904 089 9631","334, Ikorodu Road, Maryland, Lagos"
"Afordonz Limited","Employment","Lagos","15","122","very_thin","0809 358 3405, 0817 431 6515","3rd Floor, Right Wing, 240, Herbert Macaulay Way, Yaba, Lagos Nigeria"
"Bkl Outsourcing Limited","Employment","Lagos","31","206","thin","0907 293 1183","Alh.Yekini Aromolate, Lagos, Lagos State"
"CV Experts Limited","Employment","Lagos","25","183","thin","0809 647 1837","8, Alhaji lateef, Sofowora Street,, Gbagada, Lagos State"
"Employment Clinic","Employment","Lagos","11","81","very_thin","0808 159 6507, 0704 327 8007, 0805 531 2748","No 10, Coker Road, Ilupeju, Lagos Nigeria"
"Employments Pathway","Employment","Lagos","20","141","very_thin","0806 544 4490","No 11, Saheed Aregbe Close, Oshodi Isolo, Lagos Nigeria"
"George Houston Resources Limited","Employment","Lagos","29","202","thin","0703 356 2821, 0907 688 0835","58 Bode Thomas Street, Surulere, Lagos, Nigeria"
"Global Edge Consulting Ltd.","Employment","Lagos","22","172","very_thin","0817 014 9030","Block P House 8B, June 12 Boulevard Road, Ajah, Lagos Nigeria"
"High Job Link Limited","Employment","Lagos","36","209","thin","0806 610 9886","34 Ire Akari Isaga Tedo, Ikeja, Lagos"
"Hydra Verifications Ltd","Employment","Lagos","22","174","very_thin","0809 270 6375, 0902 615 6544","Suit 107, Dolphin Plaza, Dolphin Estate, Ikoyi, Lagos Nigeria"
"International Executive Placement Services","Employment","Lagos","18","146","very_thin","0805 774 0534, 01 493 1644","13, Adenubi Close, Allen Avenue, Ikeja, Lagos Nigeria"
"Iris Consulting","Employment","Lagos","10","79","very_thin","0705 514 2635, 01 850796","40B Chris Maduike Drive, Lekki Phase 1, Lagos Nigeria"
"J.Dex services","Employment","Lagos","20","138","very_thin","0907 602 2248, 0806 639 7143, 0706 954 5625","5 Kassim Oyofo close, Ajah, Lagos"
"Kakaki Consulting","Employment","Lagos","12","100","very_thin","0906 549 4857","64 Engr Akim Alao Road, Ipaja, Lagos"
"National Directorate of Employment","Employment","Lagos","18","122","very_thin","0802 313 4669","7, Barikisu Iyede Street, Onike Lagos Mainland, Nigeria"
"Rapid Career Employment Agency","Employment","Lagos","32","202","thin","8127515608","Adeyemo Alakija inside nut compound suite A&B top floor, Victoria island, Lagos"
"African Independent Television - AIT","News and Media","Lagos","9","70","very_thin","08022234564, 01-2644814, 01-2644817","DAAR Communications Complex, AIT Road, Off Lagos/Abeokuta Road, Ilapo Village, Alagbado, Lagos, Nigeria"
"HyNaija","News and Media","Lagos","27","171","thin","0806 118 5623","23 Opebi Road,, Ikeja, Lagos"
"Punch Newspaper","News and Media","Lagos","7","44","very_thin","08069006507, 08150912135, 01-7748081","1 Olu Aboderin Street, Onipetesi, Ikeja, Lagos, Nigeria"
"The News Nigeria","News and Media","Lagos","16","125","very_thin","08033066422, 08022236424, 08055002056","27, ACME Road, Agidingbi, Ikeja, Lagos, Nigeria"
"TV360 Nigeria Inc","News and Media","Lagos","26","184","thin","01 292 6940","4, Oyetubo Street, Off Awolowo Road, Ikeja, Lagos Nigeria"
"Ventures Africa","News and Media","Lagos","34","250","thin","09093284213, +234-1-2951491, +234-1-75103778",", Lagos State, Nigeria"
"Wave.ng","News and Media","Lagos","17","114","very_thin","0812 590 0497","Cherub Mall, KM 18 Lekki-Epe Exp. Lekki peninsula II, Lekki, Lagos"
"Yohaig","News and Media","Lagos","20","117","very_thin","0909 040 4558","7 Morenike Carrena Close, Agege, Lagos State"
"Eko FM 89.75","News and Media","Lagos","27","198","thin","08034551750, 01-4960568, 01-4935145","Lateef Jakande Road, Agidingbi, Ikeja, Lagos, Nigeria"
"Flavision","News and Media","Lagos","23","129","very_thin","0903 592 6407","176 Adetola Street, Aguda, Surulere, Lagos"
"KOKO TV","News and Media","Lagos","22","143","very_thin","0905 300 4973","7B University Road, Yaba, Lagos"
"Naija Info","News and Media","Lagos","26","173","thin","9091747196","15, Udi Street, Ikoyi, Eti Osa, Lagos, Nigeria"
"Stars Of Naija Limited","News and Media","Lagos","36","223","thin","0808 037 2629, 0814 920 2882","20, Adebiaye Street, Idimu, Lagos"
"The City People Media Group","News and Media","Lagos","19","155","very_thin","0802 391 1191","Akingbola Street, Ikeja, Lagos, Nigeria"
"The Union Newspaper","News and Media","Lagos","23","162","very_thin","Tel:08033028870","65, Oduduwa Way, G.R.A, Ikeja, Lagos, Nigeria"
"Waystream","News and Media","Lagos","19","121","very_thin","0806 313 5432","4 Ora Ekpen Cresent, Gbagada, Lagos"
"Lagos State Government","Government","Lagos","15","89","very_thin","01 497 9030, 01 496 4832, 01 497 903","The Secretariat, Obafemi Awolowo way, Alausa, Ikeja, Lagos State Nigeria"
"Egole","Shopping","Lagos","29","186","thin","01 453 0878, 0700 2687 8384 553","38 Commercial Avenue, Sabo Yaba, Lagos Nigeria"
"Likeparadise.com.ng","Shopping","Lagos","19","107","very_thin","9085999936","36 Marikador Plaze,, Ojo, Lagos"
"1Nairashop","Shopping","Lagos","37","235","thin","0809 500 0097, 0905 050 5051","21 Obafemi Awolowo Way, by Medical Road, Shop C1 Asset Corp Plaza, Ikeja, Lagos"
"Africdeals.com","Shopping","Lagos","31","208","thin","0809 284 8282, 0816 900 7887, 014534000","1, Sonola Street, Ogba Ikeja, Lagos"
"Ampos Nigeria","Shopping","Lagos","26","186","thin","0818 346 2803, 0818 346 2804","25, Yaya Abatan, Ogba Ikeja, Lagos Nigeria"
"Bold ExpresStore","Shopping","Lagos","33","226","thin","0806 382 8975, 0805 389 6241","13, Ola Ayeni Street, Computer Village Ikeja, Lagos Nigeria"
"Buy Now Now","Shopping","Lagos","22","142","very_thin","0818 016 7015, 0803 379 2075","EU12-19, Arena Shopping Mall, Oshodi, Lagos, Nigeria"
"eShoppaz","Shopping","Lagos","36","266","thin","0802 822 1999, 0803 684 6921","17 Adekoya Street, Ikeja, Lagos Nigeria"
"Fidelity GreenMall","Shopping","Lagos","29","186","thin","0908 568 9886, 01 448 5252","2, Adeyemo Alakija Street, Victoria Island, Lagos Nigeria"
"GbanjoDeals","Shopping","Lagos","23","165","very_thin","0809 444 4511","13 Akanbi Street, Somolu, Lagos Nigeria"
"Grand Oak Online","Shopping","Lagos","27","176","thin","0816 485 7155, 0808 665 6781","Online Shop, Oregun, Lagos, Nigeria"
"Kilimall Nigeria","Shopping","Lagos","30","227","thin","0907 806 0008","Online Shopping, Lagos, Nigeria"
"Mega Plaza","Shopping","Lagos","36","214","thin","01 262 0440, 01 262 0440, 01 262 4624-6","14 Idowu Martins Street, Victoria Island, Lagos Nigeria"
"Postwanga Nigeria","Shopping","Lagos","35","229","thin","0802 068 1186, 0708 345 4015","Online Shopping, Lekki, Lagos"
"Tribute Lifestyle","Shopping","Lagos","17","108","very_thin","0708 818 5165, 0809 237 9278","30 Oba Akran Avenue, 2nd Floor Genesys Place, Ikeja, Lagos"
"Trooworths Nig LTD","Shopping","Lagos","36","276","thin","0818 000 4118, 0818 000 4611, 0818 000 4115","Plot 141B, Oshodi Gbagada Expressway, Anthony, Lagos"
"Vkleather Products","Shopping","Lagos","27","183","thin","0803 799 0119","No 7, Prince Olaloko Close Off Sola Akande Street, Unity Estate, Egbeda, Lagos Nigeria"
"WebMall Nigeria","Shopping","Lagos","28","177","thin","0809 999 0660, 0802 476 2146","3, Celestian Church Street, Opebi, Ikeja, Lagos"
"Zerofinance","Shopping","Lagos","24","158","very_thin","0818 757 1902, 01 6311 319","32 Lewis Street, Lagos Island, Nigeria"
"Bolton White Hotels","Accommodation","Abuja","9","67","very_thin","+23492907535, +234(0)92200222","Plot 7, Gwandu Street, Area 11, Garki, Abuja, FCT"
"Nicon Luxury Hotel Abuja","Accommodation","Abuja","12","85","very_thin","09-4619000","Plot 903, Tafawa Balewa Way, Area 11, Garki, Abuja, FCT, Nigeria"
"Sinoni Lodge","Accommodation","Abuja","11","96","very_thin","+234 (0) 702 5848620, +234 (0) 806 7473891, +234 (0) 805 9149857","No 40, Birao Street, Wuse II, Abuja, FCT"
"Earthplus Residence","Accommodation","Abuja","29","194","thin","0902 270 8208","Plot 4399 Cadastral Zone E17, Apo resettlement, Abuja, FCT"
"Bolingo Hotels & Towers","Accommodation","Abuja","11","90","very_thin","09-4615000, 08063873568","independence Avenue, Abuja, FCT"
"Capital Hotels Plc","Accommodation","Abuja","16","120","very_thin","09-4612000, 09-4618711","Ladi kwali Way, Maitama, FCT, Nigeria"
"Hospitality Plus Ltd","Accommodation","Abuja","9","78","very_thin","+234 803 966 7613, +234 708 142 8767, +234 803 966 7613","25 b Trinity house behind fed.min of environment, Mabushi, Abuja"
"Lake Chad Guest Palace","Accommodation","Abuja","12","78","very_thin","08067008887, 08023170147","Lake Chad Crescent, Maitama, FCT, Nigeria"
"A&K Construction","Business","Abuja","32","247","thin","0815 252 5208, 0807 937 7443","A&K Head Office, 527 ShehuYarâ€™Adua Way, Kado District, Abuja F.C.T, Nigeria"
"Arab Contractors Nigeria Ltd","Business","Abuja","31","238","thin","0702 984 7612, 01 270 8960","Plot 1052, Shettima Mangono Crescent, District Utako, Abuja FCT"
"Ashaka Cement Plc","Business","Abuja","25","169","thin","0708 860 4651, 0708 860 4745","763, Cadastral Zone C16,Opposite Salini Quarters, Idu Industrial Estate, Abuja FCT, Nigeria"
"Capegate Group","Business","Abuja","26","193","thin","0704 2020 202, 0816 1606 070, 0803 913 5413","No 5 Bobo Street, Maitama, Abuja, Nigeria"
"Chicason Group","Business","Abuja","26","178","thin","0805 769 9110, 0805 769 9113","Plot 11, Ethiope Close,Off Owena Close, Off Yedseram Street, Maitama,, Abuja FCT, Nigeria"
"Coca-Cola Hellenic Bottling Company","Business","Abuja","25","181","thin","0800 26222652, 01 2706670","Plot 732, Industrial Area, Jabi Road, Idu, Abuja, FCT"
"CSS Group of Companies Nigeria","Business","Abuja","20","132","very_thin","0702 603 3333, 0809 456 7890","NO 20, Thomas Sankara Street, Asokoro, Abuja FCT Nigeria"
"ExpertsNG","Business","Abuja","34","189","thin","0705 111 4444","26 River Niger Street, Amssco Platinum Estate, Galadimawa, Abuja"
"G.U.Ebeco Industries Ltd","Business","Abuja","31","208","thin","0703 509 7272, 0803 678 8246, 0818 719 4221","Plot 624 Idu Industrial Area, Cadastral Zone C16, Idu Industrial District, Abuja, FCT, Nigeria"
"GHLIL","Business","Abuja","28","223","thin","0803 303 9280","622 Atiku Abubakar Way, Idu Industrial District, Abuja, FCT"
"Hall 7 Real Estate Limited","Business","Abuja","23","162","very_thin","0809 444 8555","Capital Hill, Sakete close, Off Kampala Street, Wuse 2, Abuja, Nigeria"
"Jace Technologies","Business","Abuja","27","202","thin","0803 771 6337","No. 13, Apo Resettlement, Zone D, Abuja, Nigeria"
"Landmark Corporate Realty","Business","Abuja","19","149","very_thin","09 290 1136, 0903 556 2547, 0915 722 2222","Nigeria Reinsurance Building 1st Floor, Wing A, Plot 784A, Herbert Macaulay Way, Central Business District, Abuja FCT, Nigeria"
"NetPro International Limited","Business","Abuja","24","196","very_thin","0811 111 3454, 0814 262 3879, 0805 225 5000","NetPro International Limited AUJ COMPLEX Block A 1st Floor, Central Business District, Abuja, Nigeria"
"Reynolds Construction Company","Business","Abuja","23","183","very_thin","0805 409 0165, 0805 409 0166, 0706 417 1835","13 Agadez Cresent, Wuse, Abuja, Nigeria"
"Rural Homes Limited","Business","Abuja","30","227","thin","0909 341 9999","Second Floor, Left Wing, Ojimadu Nwaeze House, P.O.W Mafemi Crescent, Utako, Abuja, Nigeria"
"S & M Nigeria Limited","Business","Abuja","33","241","thin","0806 807 6595, 0815 973 2153","Plot No. BDEX/CP/292, Opp. Abuja Model City, Dutse Alhaji Extension, Murtala Mohammed Express, Abuja, Nigeria"
"Techno Paint","Business","Abuja","26","177","thin","0807 730 3030","Plot 814, Gidado Idriss Way, Idu Industrial Area, Abuja, Nigeria"
"Technoexportstroy","Business","Abuja","21","170","very_thin","09 521 2494, 09 521 2493","Plot 1136 Shehu Yarâ€™adua  Way Life Camp Area, Gwarinpa District, Abuja, Nigeria"
"The Chrome Group","Business","Abuja","25","174","thin","0709 812 4159","No 22 Lobito Crescent, Wuse 2, Abuja FCT, Nigeria"
"Tolkeep Ventures","Business","Abuja","25","173","thin","0806 669 7874, 0818 889 6611","R19A, Northwall Drive, Sunnyvale Homes, Dakwo District, FCT, Abuja, Nigeria"
"TRION WWC","Business","Abuja","29","228","thin","0908 012 0100, 0705 439 0830","Suite B402, A.A Zauro Plaza, Plot 492 Ahmadu Bello Way, Kado, Abuja, Nigeria"
"Vita Construction Ltd","Business","Abuja","20","170","very_thin","0903 041 7598","Gwarimpa 2 Junction, Abuja - Zuba Expressway, Garki, Abuja FCT, Nigeria"
"Cunningham Marquee","Business","Abuja","23","147","very_thin","0706 638 4481, 0905 301 8000, 0706 889 5783","Emeka Anyaoku Street, Recreation Park, Area 8, Abuja F.C.T, Nigeria"
"Gamji-tec Aluminium and Profile","Business","Abuja","21","168","very_thin","0802 884 2470, 0816 953 0105, 0806 039 3259","Shop 173 Erisco Bompet Plaza, Plot 2357 Douala Street, Zone 5 Wuse, FCT, Nigeria"
"Hajaig Construction Nigeria Ltd","Business","Abuja","21","177","very_thin","0803 785 0001, 0803 785 0002","11, Vaal Street, Off Rhine Street, Off IBB Way, Maitama, Abuja, FCT Nigeria"
"Seven Up Bottling Company Plc","Business","Abuja","35","227","thin","0805 649 1492","Plot 302-304, Industrial Area, Idu, Abuja, FCT, Nigeria"
"Time Expo Design Center","Business","Abuja","24","159","very_thin","0809 753 1271, 0903 720 8525","C12, Plot 93, Rukayat Plaza, Opp. Zenith Bank Plc, 96 Obafemi Awolowo Way, Jabi, Abuja, Nigeria"
"Westcott Nigeria Limited","Business","Abuja","22","178","very_thin","0803 334 2767, 09 870 3468","A20 Emab Plaza, Plot 751, Amino Kano Cresent, Wuse 2, FCT, Nigeria"
"Castle Martial Arts Club","Arts","Abuja","25","154","thin","0803 084 8641","Jikwoyi Road, Karu, Abuja FCT, Nigeria"
"National Gallery Of Arts","Arts","Abuja","20","157","very_thin","0802 317 0178, 0807 880 8605","Federal Secretariat Complex Alh. Shehu Way, 8th & 9th Floors, Block E, Phase 2, Garki, Abuja FCT, Nigeria"
"International Heritage Centre","Arts","Abuja","19","134","very_thin","+234 809 8654717, +234 812 0566370","29WC+9G, Opposite Citec Estate, Dakibiyu, Abuja"
"Arojah Royal Theatre","Arts","Abuja","28","221","thin","0818 200 5597, 0805 277 1123","C/o The Korean Cultural Centre, 2nd Floor, Rivers Plaza, 83, Ralph Shodeinde Street, Central Business District, Abuja FCT, Nigeria"
"Art Kare Gallery Nigeria Ltd","Arts","Abuja","24","148","very_thin","0803 382 1655, 0806 558 8587","Suite 2,  Neighborhood Centre, Area 3, Garki, Abuja FCT"
"Arts & Culture Abuja","Arts","Abuja","24","132","very_thin","0802 313 1328","Arts & Culture Complex, Area 10, Garki FCT Nigeria"
"Mama Africa Art & Craft Market","Arts","Abuja","24","136","very_thin","0809 865 4717","Airport Road, Jabi, Abuja FCT, Nigeria"
"Meridian Merit Media Ventures","Arts","Abuja","21","159","very_thin","0806 446 0008, 0805 612 5127","No. 9 (B), Ground Floor, Noble Plaza, Area 10, Garki, Abuja FCT"
"PencilsTalk","Arts","Abuja","14","93","very_thin","070 3505 1593","Opposite Jahi Clinic, Jahi, Abuja"
"Penciltalks","Arts","Abuja","28","194","thin","0803 942 5764, 0818 006 8718","Plot 150, Amino kano Crescent, Wuse 2, Abuja, FCT Nigeria"
"Retro Africa","Arts","Abuja","25","156","thin","0805 912 1285","12 Ukpabi Asika Street, Asokoro, Abuja FCT, Nigeria"
"Touch House Theatre","Arts","Abuja","27","167","thin","0803 355 5084","15, Ambeez Plaza, 113 Ndola Crescent, Opposite former Coperate Affairs Commission, Wuse 900285, Abuja, FCT, Wuse 2, Abuja FCT, Nigeria"
"Ubix Global Services","Arts","Abuja","22","152","very_thin","0813 884 7553","Block C2 Suite 8 Commerce Plaza, Area 1, Behind Old Federal Secretariat, Garki, Abuja FCT, Nigeria"
"Uzzitz Centre For Arts And Culture","Arts","Abuja","22","159","very_thin","0708 558 9511","Plot 1515, along Nnamdi Azikiwe Expressway, Banex Bus stop, Mabushi District, Abuja FCT, Nigeria"
"Jabi Boat Club","Sports","Abuja","20","140","very_thin","0808 089 9289, 0902 553 8883","26, Alex Ekwueme Way, Nera Hotel Waterfront, Jabi District, Abuja FCT Nigeria"
"Ancient Intelligence Football Academy","Sports","Abuja","31","215","thin","0704 700 3913","Suite 12B, Glory Mojec Plaza, Alexander Crescent, Wuse 2 Abuja, FCT"
"American Football Club","Sports","Abuja","20","136","very_thin","0703 025 7096, 0702 544 9200","GSS Karu, Nyanya, Abuja FCT Nigeria"
"Bush Riders Go-Karting","Sports","Abuja","25","150","thin","0909 673 9466, 0809 272 2852","River Plate Park, Plot 174 Kur Mohammed Avenue, Wuse, Abuja FCT Nigeria"
"Citygate Badminton Club","Sports","Abuja","22","135","very_thin","0803 311 3070, 0703 892 9960, 0703 411 7731","National Stadium Package B Gymnasium, Abuja, FCT Nigeria"
"Cricket Club Abuja","Sports","Abuja","25","172","thin","0803 311 7246, 0805 414 6832, 0809 622 4050","National Stadium, Package B, Indoor Complex, Constitution Avenue, Kukwaba, Abuja FCT Nigeria"
"Jahi Badminton Club","Sports","Abuja","28","163","thin","0806 163 0049","Tobix Recreational Park and Garden, off Ahmadu Bello Way, Gwarinpa Express Way, Abuja FCT Nigeria"
"Mininfootball Association Of Nigeria","Sports","Abuja","24","163","very_thin","0905 500 1007","House 4, Road 14, Off First Avenue, Gwarinpa Estate, Abuja FCT Nigeria"
"Peace Boxing and Fitness Academy","Sports","Abuja","38","225","thin","0905 686 6282., 0703 949 8906","Bekeji guest-inn, Lugbe along Airport road,, Lugbe Abuja, FCT"
"Planet Futsal Limited","Sports","Abuja","28","191","thin","0810 813 4201","38 IBM Haruna Street, off IBM Haruna Street, Utako District, Abuja FCT Nigeria"
"Remarkable Sports Shop","Sports","Abuja","21","141","very_thin","0703 255 4011, 0807 567 5132, 0803 320 8812","36 C Old Anex Plaza, Wuse Zone 2, Abuja FCT Nigeria"
"Rhodimos Taekwondo Academy","Sports","Abuja","30","187","thin","0806 593 3192","1422 Road, House 6, James Brown Street, 1st Avenue, Gwarimpa, Abuja FCT Nigeria"
"Sivara Sports","Sports","Abuja","23","144","very_thin","0809 723 5494","Shop CS 24 Harmonic Plaza, Mike Akhigbe Street, Jabi, Abuja FCT Nigeria"
"Sportsland  Nig. Ltd","Sports","Abuja","38","250","thin","0703 629 5294, 0701 762 4678","Shop C21 Emab Plaza, Wuse 2, Abuja FCT, Nigeria"
"Auto Spa Ltd","Automotive","Abuja","18","115","very_thin","0809 5555 507, 0809 6999 998","Plot 92 CAD Zone B15, Behind Mabushi Ultramodern Market, Katampe Road, Jahi, Abuja, Nigeria"
"Electric Motor Vehicle Company","Automotive","Abuja","18","133","very_thin","0806 555 7566","251 Herbert Macaulay Way, Central Business District, Abuja, Nigeria"
"Guangzhou Automobile Group Co. Ltd","Automotive","Abuja","22","148","very_thin","0809 044 4555, 0808 676 9926","Plot A01 Build Option Apartment 3 by COZA Church Guzape Hill Asokoro Extension, Guzape, Abuja, Nigeria"
"Automedics Abuja","Automotive","Abuja","26","213","thin","0809 559 9919","Plot 159,Reuben Okoya Crescent,off Olusegun Obasanjo Way,Opp. Abiding Word of light Chuch, Wuye, Abuja Nigeria"
"Body Solutions Garage","Automotive","Abuja","31","217","thin","0702 501 1000","Plot 1987 Cadastral Zone B7, Ministersï¿½ Hill Bus Stop, Maitama, Abuja Nigeria"
"Coscharis Group","Automotive","Abuja","35","234","thin","09 291 5280, 09 291 5283","Plot 388,Constitution Avenue,  Central Business District, FCT, Abuja Nigeria"
"Dunlop Nigeria PLC Abuja","Automotive","Abuja","17","95","very_thin","704135994","Plot 208, Zakariya Street, Central Business District, Abuja, FCT"
"Auto Operating & Services Company Limited","Automotive","Abuja","24","172","very_thin","0816 297 9797, 0817 078 8888, 0909 20 7777","No. 8 Ebittu Ukiwe Street, Jabi, Abuja Nigeria"
"AutoElectNG","Automotive","Abuja","18","136","very_thin","0805 547 7646","Suite C8 AYM Shafa Plaza, Olusegun Obasanjo Way by Ngozi Okonjo-lweala Way, Wuye, Abuja Nigeria"
"Chommy Auto Company","Automotive","Abuja","36","241","thin","0803 705 1399","Arab Business Centre, Apo Mechanic Village, Apo, Abuja FCT Nigeria"
"Johnx-Autobay Diagnostic Center","Automotive","Abuja","32","229","thin","0703 870 1175","Plot 3 Murtala Nyako Close, Abubakar Abdul Sallam Way, Abuja Nigeria"
"Mastermind Automobile Solutions Limited","Automotive","Abuja","31","249","thin","0703 609 3454","By Oando Filling Station, Opposite Prince and Princess Estate Junction, FCT, Abuja Nigeria"
"Matrix Automobile System Ltd","Automotive","Abuja","32","225","thin","0803 702 2336, 08188882525","No. 15 Bambari Crescent, Wuse Zone 7, Abuja, FCT"
"O'Blaise Classic Motors","Automotive","Abuja","29","221","thin","0706 666 2545","Kubwa - Gwarinpa Express Way, FCT, Abuja Nigeria"
"Optimus Prime Logistics","Automotive","Abuja","40","255","thin","0802 657 3570, 0703 475 0003","Suite 312, MKK Plaza, I. T. Igbani Street, Jabi, Abuja Nigeria"
"Stanco Automobile Key Solutions Limited","Automotive","Abuja","28","192","thin","0803 344 8612","Suite BPS 1B, old Banex plaza, Amino Kano Crescent, Wuse ll, Abuja nigeria"
"TAT Waterless Mobile Car Wash","Automotive","Abuja","25","154","thin","0909 000 8479","TAT Waterless Mobile Car Wash, Garki, Abuja Nigeria"
"Vista Business - Abuja Branch Office","Automotive","Abuja","15","88","very_thin","0805 840 3372","Suite D8A Pasty Plaza, Plot 359 Ebitu Ukiwe Street, FCT, Abuja, Nigeria"
"ABC Transport","Transportation","Abuja","16","134","very_thin","08142552437, 09-6702078","36, Ekukinam Street Off Berger Junction, Utako, Abuja FCT Nigeria"
"Abuja Urban Mass Transport Company","Transportation","Abuja","22","153","very_thin","0806 054 6472, 0807 833 5369, 0809 890 8759","Plot 185, Cadastral Zone F03 (ONEX), Usuma District, Kubwa, Abuja FCT Nigeria"
"Chisco Transport Nigeria Limited","Transportation","Abuja","14","107","very_thin","0810 651 7669, 0708 728 7400, 0808 927 3799","Chisco Building, 11, A.E Ekukinam Street, Utako, Abuja FCT Nigeria"
"TraciFy","Transportation","Abuja","29","178","thin","0906 907 4436, 0906 907 4432","22 Kumasi Crescent, Wuse 2, Abuja FCT Nigeria"
"Valgee Transport Services","Transportation","Abuja","17","119","very_thin","0906 865 2712, 0817 869 8791, 0816 739 8567","No. 22 Kumasi Crescent, Wuse 2 FCT, Abuja"
"Crystal Wheels","Transportation","Abuja","25","161","thin","0808 406 8078","No 5, Kikuyu close off Nairobi street, Wuse, Abuja"
"Capitol Cabs & Travels","Transportation","Abuja","37","223","thin","0906 000 7162, 0906 000 7163","No 1 Joshua Madaki Close, Opposite Jimeta Filling Station, Apo Zone E, Abuja FCT, Nigeria"
"Et-Cetera Shipping Transport Limited","Transportation","Abuja","21","168","very_thin","0804 214 5621","Suite C07 Citrus Mall, Gadiwa Estate, Gaduwa, Abuja Nigeria"
"Extraextreme Ventures","Transportation","Abuja","23","167","very_thin","0812 036 1465","Suite 12, Garachi Plaza, Wuse Zone 3, Abuja, FCT"
"Fando Freight","Transportation","Abuja","28","187","thin","0802 241 2822, 0802 728 1858","Plot 1850 Cadestral Zone, BO7 Near Mabushi Mordern Market, Katampe Cargo Centre, Jahi Katampe District, Abuja FCT Nigeria"
"Green Cabs Abuja","Transportation","Abuja","18","117","very_thin","0809 990 0542, 0809 990 0543, 0809 990 0546","Foundation Plaza, Ground Floor, Plot 792, Shettima Munguno Cresent, Utako, Abuja FCT Nigeria"
"Mabax Global Ltd","Transportation","Abuja","18","121","very_thin","0907 031 3008","No 2 Corner Shop, Opposite Custom Office, Karu, Abuja"
"Metro Logistics","Transportation","Abuja","14","93","very_thin","0703 544 5332, 0706 373 3339, 0906 660 3858","Shop F47, Nyanya Shopping Plaza, Nyanya, FCT"
